date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:22:00	22896/22896	---MCZ	200	added ('OK')	text/html	etag:W/%223a5c36-5970-575c55e7fe380%22	http://t.commonsupport.com/woodex/contact.html	/Users/iyadh/websites/SiteINAT/t.commonsupport.com/woodex/contact.html	(from http://t.commonsupport.com/woodex/?fbclid=IwAR0Yh2QS9x379sUSX9iFGJrFHw7xqJbjNmscOxFJL3NbWKySYK1JYOBTtxg)
21:22:11	14845/14845	---M--	200	added ('OK')	image/jpeg	etag:%22465ad2-39fd-55f875ed82300%22	http://t.commonsupport.com/woodex/images/resource/services-1.jpg	/Users/iyadh/websites/SiteINAT/t.commonsupport.com/woodex/images/resource/services-1.jpg	(from http://t.commonsupport.com/woodex/?fbclid=IwAR0Yh2QS9x379sUSX9iFGJrFHw7xqJbjNmscOxFJL3NbWKySYK1JYOBTtxg)
21:22:16	21278/21278	---M--	200	added ('OK')	image/jpeg	etag:%22465b0f-531e-55f875feacb80%22	http://t.commonsupport.com/woodex/images/resource/services-2.jpg	/Users/iyadh/websites/SiteINAT/t.commonsupport.com/woodex/images/resource/services-2.jpg	(from http://t.commonsupport.com/woodex/?fbclid=IwAR0Yh2QS9x379sUSX9iFGJrFHw7xqJbjNmscOxFJL3NbWKySYK1JYOBTtxg)
21:22:22	25385/25385	---M--	200	added ('OK')	image/jpeg	etag:%22465bd1-6329-55f8760deef80%22	http://t.commonsupport.com/woodex/images/resource/services-3.jpg	/Users/iyadh/websites/SiteINAT/t.commonsupport.com/woodex/images/resource/services-3.jpg	(from http://t.commonsupport.com/woodex/?fbclid=IwAR0Yh2QS9x379sUSX9iFGJrFHw7xqJbjNmscOxFJL3NbWKySYK1JYOBTtxg)
21:22:27	24848/24848	---M--	200	added ('OK')	image/jpeg	etag:%22465be8-6110-55f8761b48f00%22	http://t.commonsupport.com/woodex/images/resource/services-4.jpg	/Users/iyadh/websites/SiteINAT/t.commonsupport.com/woodex/images/resource/services-4.jpg	(from http://t.commonsupport.com/woodex/?fbclid=IwAR0Yh2QS9x379sUSX9iFGJrFHw7xqJbjNmscOxFJL3NbWKySYK1JYOBTtxg)
21:22:30	199402/199402	---M--	200	added ('OK')	image/jpeg	etag:%224354e6-30aea-55f8682c8b000%22	http://t.commonsupport.com/woodex/images/main-slider/image-1.jpg	/Users/iyadh/websites/SiteINAT/t.commonsupport.com/woodex/images/main-slider/image-1.jpg	(from http://t.commonsupport.com/woodex/?fbclid=IwAR0Yh2QS9x379sUSX9iFGJrFHw7xqJbjNmscOxFJL3NbWKySYK1JYOBTtxg)
21:22:32	4757/4757	---M--	200	added ('OK')	image/jpeg	etag:%22465931-1295-55f883c18c300%22	http://t.commonsupport.com/woodex/images/resource/author-1.jpg	/Users/iyadh/websites/SiteINAT/t.commonsupport.com/woodex/images/resource/author-1.jpg	(from http://t.commonsupport.com/woodex/?fbclid=IwAR0Yh2QS9x379sUSX9iFGJrFHw7xqJbjNmscOxFJL3NbWKySYK1JYOBTtxg)
21:22:34	4654/4654	---M--	200	added ('OK')	image/jpeg	etag:%22465fcb-122e-55f8838a3c080%22	http://t.commonsupport.com/woodex/images/resource/signature.jpg	/Users/iyadh/websites/SiteINAT/t.commonsupport.com/woodex/images/resource/signature.jpg	(from http://t.commonsupport.com/woodex/?fbclid=IwAR0Yh2QS9x379sUSX9iFGJrFHw7xqJbjNmscOxFJL3NbWKySYK1JYOBTtxg)
21:22:36	199123/199123	---M--	200	added ('OK')	image/jpeg	etag:%224354e7-309d3-55f86a9686200%22	http://t.commonsupport.com/woodex/images/main-slider/image-2.jpg	/Users/iyadh/websites/SiteINAT/t.commonsupport.com/woodex/images/main-slider/image-2.jpg	(from http://t.commonsupport.com/woodex/?fbclid=IwAR0Yh2QS9x379sUSX9iFGJrFHw7xqJbjNmscOxFJL3NbWKySYK1JYOBTtxg)
21:22:40	213227/213227	---M--	200	added ('OK')	image/jpeg	etag:%224354e8-340eb-55f86d6780700%22	http://t.commonsupport.com/woodex/images/main-slider/image-3.jpg	/Users/iyadh/websites/SiteINAT/t.commonsupport.com/woodex/images/main-slider/image-3.jpg	(from http://t.commonsupport.com/woodex/?fbclid=IwAR0Yh2QS9x379sUSX9iFGJrFHw7xqJbjNmscOxFJL3NbWKySYK1JYOBTtxg)
